"","year","job","date","category","guest_name","Experience"
"1",1999,"actor","1/11/99","Acting","Michael J. Fox",29
"2",1999,"Comedian","1/12/99","Comedy","Sandra Bernhard",29
"3",1999,"television actress","1/13/99","Acting","Tracey Ullman",29
"4",1999,"film actress","1/14/99","Acting","Gillian Anderson",29
"5",1999,"actor","1/18/99","Acting","David Alan Grier",29
"6",1999,"actor","1/19/99","Acting","William Baldwin",29
"7",1999,"Singer-lyricist","1/20/99","Musician","Michael Stipe",29
"8",1999,"model","1/21/99","Media","Carmen Electra",29
"9",1999,"actor","1/25/99","Acting","Matthew Lillard",29
"10",1999,"stand-up comedian","1/26/99","Comedy","David Cross",29
"11",1999,"actress","1/27/99","Acting","Yasmine Bleeth",29
"12",1999,"actor","1/28/99","Acting","D. L. Hughley",29
"13",1999,"television actress","10/18/99","Acting","Rebecca Gayheart",29
"14",1999,"Comedian","10/19/99","Comedy","Steven Wright",29
"15",1999,"actress","10/20/99","Acting","Amy Brenneman",29
"16",1999,"actress","10/21/99","Acting","Melissa Gilbert",29
"17",1999,"actress","10/25/99","Acting","Cathy Moriarty",29
"18",1999,"comedian","10/26/99","Comedy","Louie Anderson",29
"19",1999,"actress","10/27/99","Acting","Sarah Michelle Gellar",29
"20",1999,"Singer-songwriter","10/28/99","Musician","Melanie C",29
"21",1999,"actor","10/4/99","Acting","Greg Proops",29
"22",1999,"television personality","10/5/99","Media","Maury Povich",29
"23",1999,"actress","10/6/99","Acting","Brooke Shields",29
"24",1999,"Comic","10/7/99","Comedy","Molly Shannon",29
"25",1999,"actor","11/1/99","Acting","Chris O'Donnell",29
"26",1999,"actress","11/15/99","Acting","Christina Ricci",29
"27",1999,"Singer-songwriter","11/16/99","Musician","Tori Amos",29
"28",1999,"actress","11/17/99","Acting","Yasmine Bleeth",29
"29",1999,"comedian","11/18/99","Comedy","Bill Maher",29
"30",1999,"actress","11/2/99","Acting","Jennifer Love Hewitt",29
"31",1999,"rock band","11/29/99","Musician","Goo Goo Dolls",29
"32",1999,"musician","11/3/99","Musician","Dave Grohl",29
"33",1999,"Film actor","11/30/99","Acting","Stephen Rea",29
"34",1999,"Model","11/4/99","Media","Roshumba Williams",29
"35",1999,"television actress","11/8/99","Acting","Kellie Martin",29
"36",1999,"actress","11/9/99","Acting","Kathy Griffin",29
"37",1999,"actress","12/1/99","Acting","Laura San Giacomo",29
"38",1999,"journalist","12/13/99","Media","Joan Lunden",29
"39",1999,"actress","12/14/99","Acting","Shannen Doherty",29
"40",1999,NA,"12/15/99",NA,"Greatest Millennium Special",29
"41",1999,"comedian","12/16/99","Comedy","George Carlin",29
"42",1999,"actor","12/2/99","Acting","Michael Boatman",29
"43",1999,"actor","12/20/99","Acting","David Boreanaz",29
"44",1999,"singer-songwriter","12/21/99","Musician","Jewel",29
"45",1999,"actor","12/6/99","Acting","Paul Rudd",29
"46",1999,"us senator","12/7/99","Politician","Senator Bob Dole, part 1",29
"47",1999,"us senator","12/8/99","Politician","Senator Bob Dole, part 2",29
"48",1999,"actor","12/9/99","Acting","Rob Schneider",29
"49",1999,"comedian","2/1/99","Comedy","George Carlin",29
"50",1999,"actress","2/10/99","Acting","Pamela Anderson, Natalie Raitano, Molly Culver",29
"51",1999,"actress","2/10/99","Acting","Pamela Anderson, Natalie Raitano, Molly Culver",29
"52",1999,"actress","2/10/99","Acting","Pamela Anderson, Natalie Raitano, Molly Culver",29
"53",1999,"film actor","2/11/99","Acting","Daniel Stern",29
"54",1999,"actress","2/16/99","Acting","Melina Kanakaredes",29
"55",1999,"comedian","2/17/99","Comedy","Ed McMahon",29
"56",1999,"actor","2/18/99","Acting","Mike Judge",29
"57",1999,"actor","2/2/99","Acting","Dave Foley",29
"58",1999,"television actress","2/3/99","Acting","Kellie Martin",29
"59",1999,"actor","2/4/99","Acting","Jerry O'Connell",29
"60",1999,"actress","2/8/99","Acting","Melissa Gilbert",29
"61",1999,"actor","2/9/99","Acting","Brendan Fraser",29
"62",1999,"pianist","3/1/99","Musician","John Tesh",29
"63",1999,"Vocalist","3/10/99","Musician","Sammy Hagar",29
"64",1999,"rock band","3/11/99","Musician","Hootie & the Blowfish, Billy Crystal",29
"65",1999,"actor","3/11/99","Acting","Hootie & the Blowfish, Billy Crystal",29
"66",1999,"Film actor","3/15/99","Acting","Peter Krause",29
"67",1999,"musician","3/16/99","Musician","Chris Isaak",29
"68",1999,"writer","3/17/99","Media","Frank DeCaro's Oscar Special, John Larroquette",29
"69",1999,"actor","3/17/99","Acting","Frank DeCaro's Oscar Special, John Larroquette",29
"70",1999,"actor","3/18/99","Acting","Joseph Gordon-Levitt",29
"71",1999,"actor","3/2/99","Acting","Eric McCormack",29
"72",1999,"actress","3/22/99","Acting","Jennifer Grey",29
"73",1999,"Stand-up comedian","3/23/99","Comedy","Norm Macdonald",29
"74",1999,"actress","3/24/99","Acting","Sandra Bullock",29
"75",1999,"actress","3/25/99","Acting","Janine Turner",29
"76",1999,"Film director","3/29/99","Media","Ron Howard",29
"77",1999,"actress","3/3/99","Acting","Jeri Ryan",29
"78",1999,"actor","3/30/99","Acting","Omar Epps",29
"79",1999,"actress","3/31/99","Acting","Diane Lane",29
"80",1999,"actor","3/4/99","Acting","Ryan Phillippe",29
"81",1999,"actor","3/8/99","Acting","Ian McKellen",29
"82",1999,"actor","3/9/99","Acting","Jon Voight",29
"83",1999,"actor","4/1/99","Acting","Stephen Baldwin",29
"84",1999,"actor","4/12/99","Acting","Ernie Hudson",29
"85",1999,"film actor","4/13/99","Acting","Josh Charles",29
"86",1999,"actor","4/14/99","Acting","Jackie Chan",29
"87",1999,"actress","4/15/99","Acting","Marlee Matlin",29
"88",1999,"actress","4/19/99","Acting","Sharon Lawrence",29
"89",1999,"actor","4/20/99","Acting","Rob Estes",29
"90",1999,"actress","4/21/99","Acting","Angelina Jolie",29
"91",1999,"stand-up comedian","4/22/99","Comedy","David Spade",29
"92",1999,"actor","4/26/99","Acting","Seth Green",29
"93",1999,"actress","4/27/99","Acting","Sheryl Lee Ralph",29
"94",1999,"singer","4/28/99","Musician","Chris Robinson",29
"95",1999,"comedian","4/29/99","Comedy","Joy Behar",29
"96",1999,"actor","5/10/99","Acting","Thomas Gibson",29
"97",1999,"actress","5/11/99","Acting","Paula Cale",29
"98",1999,"actor","5/12/99","Acting","Ted Danson",29
"99",1999,"actor","5/13/99","Acting","Esai Morales",29
"100",1999,"actress","5/17/99","Acting","Jane Seymour",29
"101",1999,"Comedian","5/18/99","Comedy","Robert Schimmel",29
"102",1999,"actress","5/19/99","Acting","Camryn Manheim",29
"103",1999,"actor","5/20/99","Acting","Ray Romano",29
"104",1999,"television actress","5/24/99","Acting","Patricia Richardson",29
"105",1999,"actress","5/25/99","Acting","Suzanne Somers",29
"106",1999,"actress","5/26/99","Acting","Natalie Portman",29
"107",1999,"actor","5/27/99","Acting","Jamie Foxx",29
"108",1999,"actor","6/10/99","Acting","Timothy Hutton",29
"109",1999,"actor","6/14/99","Acting","Mike Myers",29
"110",1999,"actor","6/15/99","Acting","Rob Lowe",29
"111",1999,"actor","6/16/99","Acting","Mike Myers",29
"112",1999,"actress","6/17/99","Acting","Heather Graham",29
"113",1999,"film actress","6/21/99","Acting","Felicity Huffman",29
"114",1999,"television host","6/22/99","Media","Jimmy Kimmel",29
"115",1999,"actor","6/23/99","Acting","Adam Sandler",29
"116",1999,"Stand-up comedian","6/24/99","Comedy","Richard Belzer",29
"117",1999,"Comedian","6/28/99","Comedy","Margaret Cho",29
"118",1999,"actor","6/29/99","Acting","Scott Wolf",29
"119",1999,"actress","6/30/99","Acting","Roseanne Barr",29
"120",1999,"singer","6/7/99","Musician","Harry Connick Jr.",29
"121",1999,"comedian","6/8/99","Comedy","Caroline Rhea",29
"122",1999,"actor","6/9/99","Acting","Damon Wayans",29
"123",1999,"actor","7/1/99","Acting","Rob Schneider",29
"124",1999,"televison actor","7/12/99","Acting","Adam Arkin",29
"125",1999,"muppet","7/13/99","Media","Miss Piggy",29
"126",1999,"actor","7/14/99","Acting","John Leguizamo",29
"127",1999,"Stand-up comedian","7/15/99","Comedy","Robert Klein",29
"128",1999,"actress","7/19/99","Acting","Christa Miller",29
"129",1999,"stand-up comedian","7/20/99","Comedy","David Brenner",29
"130",1999,NA,"7/21/99",NA,"Third Anniversary Special",29
"131",1999,"actress","7/22/99","Acting","Joely Fisher",29
"132",1999,"singer","7/26/99","Musician","Donny Osmond",29
"133",1999,"actress","7/27/99","Acting","Wendie Malick",29
"134",1999,"Vocalist","7/28/99","Musician","Vince Neil",29
"135",1999,"film actress","7/29/99","Acting","Janeane Garofalo",29
"136",1999,"comedian","8/10/99","Comedy","Dom Irrera",29
"137",1999,"actor","8/11/99","Acting","Pierce Brosnan",29
"138",1999,"director","8/12/99","Media","Eduardo Sanchez and Daniel Myrick",29
"139",1999,"film director","8/12/99","Media","Eduardo Sanchez and Daniel Myrick",29
"140",1999,"american television personality","8/16/99","Media","Carson Daly",29
"141",1999,"actress","8/17/99","Acting","Molly Ringwald",29
"142",1999,"actress","8/18/99","Acting","Sarah Jessica Parker",29
"143",1999,"actor","8/19/99","Acting","French Stewart",29
"144",1999,"actress","8/2/99","Acting","Bebe Neuwirth",29
"145",1999,"actress","8/23/99","Acting","Cheryl Ladd",29
"146",1999,"rapper","8/24/99","Musician","LL Cool J",29
"147",1999,"singer-songwriter","8/25/99","Musician","Dwight Yoakam",29
"148",1999,"actress","8/26/99","Acting","Nia Long",29
"149",1999,"actor","8/3/99","Acting","Garry Marshall",29
"150",1999,NA,"8/30/99",NA,"The Daily Show Summer Spectacular",29
"151",1999,"actor","8/4/99","Acting","Denis Leary",29
"152",1999,"actor","8/5/99","Acting","Jeffrey Tambor",29
"153",1999,"actor","8/9/99","Acting","Dave Foley",29
"154",1999,"comedian","9/13/99","Comedy","Elayne Boosler",29
"155",1999,"actor","9/14/99","Acting","Tom Green",29
"156",1999,"actor","9/15/99","Acting","Jason Priestley",29
"157",1999,"stand-up comedian","9/16/99","Comedy","David Cross",29
"158",1999,"actor","9/20/99","Acting","Andy Richter",29
"159",1999,"singer","9/21/99","Musician","Donny Osmond Marie Osmond",29
"160",1999,"comedian","9/22/99","Comedy","Dave Chappelle",29
"161",1999,"actor","9/23/99","Acting","Steve Zahn",29
"162",1999,"Stand-up comedian","9/27/99","Comedy","Norm Macdonald",29
"163",1999,"actress","9/28/99","Acting","Melissa Joan Hart",29
"164",1999,"Comedian","9/29/99","Comedy","Richard Lewis",29
"165",1999,"actor","9/30/99","Acting","Bruce McCulloch and Mark McKinney",29
