"","year","date","guest_name"
"1",1999,"1/11/99","Michael J. Fox"
"2",1999,"1/12/99","Sandra Bernhard"
"3",1999,"1/13/99","Tracey Ullman"
"4",1999,"1/14/99","Gillian Anderson"
"5",1999,"1/18/99","David Alan Grier"
"6",1999,"1/19/99","William Baldwin"
"7",1999,"1/20/99","Michael Stipe"
"8",1999,"1/21/99","Carmen Electra"
"9",1999,"1/25/99","Matthew Lillard"
"10",1999,"1/26/99","David Cross"
"11",1999,"1/27/99","Yasmine Bleeth"
"12",1999,"1/28/99","D. L. Hughley"
"13",1999,"10/18/99","Rebecca Gayheart"
"14",1999,"10/19/99","Steven Wright"
"15",1999,"10/20/99","Amy Brenneman"
"16",1999,"10/21/99","Melissa Gilbert"
"17",1999,"10/25/99","Cathy Moriarty"
"18",1999,"10/26/99","Louie Anderson"
"19",1999,"10/27/99","Sarah Michelle Gellar"
"20",1999,"10/28/99","Melanie C"
"21",1999,"10/4/99","Greg Proops"
"22",1999,"10/5/99","Maury Povich"
"23",1999,"10/6/99","Brooke Shields"
"24",1999,"10/7/99","Molly Shannon"
"25",1999,"11/1/99","Chris O'Donnell"
"26",1999,"11/15/99","Christina Ricci"
"27",1999,"11/16/99","Tori Amos"
"28",1999,"11/17/99","Yasmine Bleeth"
"29",1999,"11/18/99","Bill Maher"
"30",1999,"11/2/99","Jennifer Love Hewitt"
"31",1999,"11/29/99","Goo Goo Dolls"
"32",1999,"11/3/99","Dave Grohl"
"33",1999,"11/30/99","Stephen Rea"
"34",1999,"11/4/99","Roshumba Williams"
"35",1999,"11/8/99","Kellie Martin"
"36",1999,"11/9/99","Kathy Griffin"
"37",1999,"12/1/99","Laura San Giacomo"
"38",1999,"12/13/99","Joan Lunden"
"39",1999,"12/14/99","Shannen Doherty"
"40",1999,"12/15/99","Greatest Millennium Special"
"41",1999,"12/16/99","George Carlin"
"42",1999,"12/2/99","Michael Boatman"
"43",1999,"12/20/99","David Boreanaz"
"44",1999,"12/21/99","Jewel"
"45",1999,"12/6/99","Paul Rudd"
"46",1999,"12/7/99","Senator Bob Dole, part 1"
"47",1999,"12/8/99","Senator Bob Dole, part 2"
"48",1999,"12/9/99","Rob Schneider"
"49",1999,"2/1/99","George Carlin"
